model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
rf_balanced,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",0.15
rf_deeper,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",0.15
extra_trees,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",0.2
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",0.2
logistic_l2,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",0.25
svc_rbf,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",0.1
hist_gradient,default,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/dino_default_labels_2025_mar.csv,label_yellow_broad,leave_area_out,SV_S1,282,20,"{0: 258, 1: 24}","{0: 10, 1: 10}",0.5,0.5,0.3333333333333333,"[[10, 0], [10, 0]]","[0, 1]",0.35
