model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
logistic_l2,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.6363636363636364,0.5833333333333333,0.5416666666666666,"[[6, 3], [1, 1]]","[0, 1]",
logistic_l2,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.5454545454545454,0.5277777777777778,0.4761904761904763,"[[5, 4], [1, 1]]","[0, 1]",0.3
rf_balanced,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
rf_balanced,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",0.2
rf_deeper,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
extra_trees,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
extra_trees_kbest,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
svc_rbf,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
hist_gradient,default,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.8181818181818182,0.5,0.45,"[[9, 0], [2, 0]]","[0, 1]",
extra_trees,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.45454545454545453,0.4722222222222222,0.4107142857142857,"[[4, 5], [1, 1]]","[0, 1]",0.15
rf_deeper,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.6363636363636364,0.3888888888888889,0.3888888888888889,"[[7, 2], [2, 0]]","[0, 1]",0.15
svc_rbf,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.6363636363636364,0.3888888888888889,0.3888888888888889,"[[7, 2], [2, 0]]","[0, 1]",0.1
hist_gradient,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.6363636363636364,0.3888888888888889,0.3888888888888889,"[[7, 2], [2, 0]]","[0, 1]",0.1
extra_trees_kbest,threshold_cv,/Users/hbot07/VS Code/Drone-Phenology-Monitoring/src/notebooks/satellite/embeddings/exports/normalized_iitd_sv_gee_embeddings_2024_original.csv,label_yellow_strict,leave_area_out,MITTAL,344,11,"{0: 306, 1: 38}","{0: 9, 1: 2}",0.18181818181818182,0.1111111111111111,0.15384615384615383,"[[2, 7], [2, 0]]","[0, 1]",0.15
