model,decision,csv,label,split,holdout,n_train,n_test,train_counts,test_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,labels,threshold
extra_trees,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7857142857142857,0.6625,0.6818181818181818,"[[3, 5], [1, 19]]","[0, 1]",
logistic_l2,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.6785714285714286,0.625,0.6199095022624435,"[[4, 4], [5, 15]]","[0, 1]",
extra_trees_kbest,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.75,0.6,0.604040404040404,"[[2, 6], [1, 19]]","[0, 1]",
rf_deeper,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.75,0.5625,0.5366430260047281,"[[1, 7], [0, 20]]","[0, 1]",0.15
logistic_l2,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.6785714285714286,0.55,0.5491949910554561,"[[2, 6], [3, 17]]","[0, 1]",0.4
hist_gradient,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5375,0.5130434782608696,"[[1, 7], [1, 19]]","[0, 1]",0.1
rf_balanced,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.42857142857142855,0.525,0.4285714285714285,"[[6, 2], [14, 6]]","[0, 1]",
rf_balanced,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.15
extra_trees,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.2
extra_trees_kbest,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.15
svc_rbf,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",
svc_rbf,threshold_cv,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.7142857142857143,0.5,0.41666666666666663,"[[0, 8], [0, 20]]","[0, 1]",0.15
hist_gradient,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.5,0.4625,0.4555555555555556,"[[3, 5], [9, 11]]","[0, 1]",
rf_deeper,default,src/notebooks/satellite/embeddings/exports/gee_original_acacia_label_configs.csv,label_acacia_species,leave_area_out,SV_S4,363,28,"{0: 318, 1: 45}","{0: 8, 1: 20}",0.2857142857142857,0.4625,0.25133689839572193,"[[7, 1], [19, 1]]","[0, 1]",
